agentid,step,ExpectedQvalue,CumulativeReward
0,1,60.49999999999997,0
0,2,55.69230769230768,0
0,3,55.423076923076934,0
0,4,52.923076923076906,0
0,5,58.115384615384585,12
0,6,59.076923076923066,12
0,7,62.1923076923077,12
0,8,63.46153846153846,12
0,9,59.26923076923076,12
0,10,54.884615384615365,18
0,11,57.03846153846154,18
0,12,61.53846153846155,18
0,13,58.53846153846157,24
0,14,59.34615384615383,24
0,15,57.84615384615385,24
0,16,61.884615384615394,42
0,17,62.92307692307693,42
0,18,65.61538461538461,42
0,19,60.57692307692309,42
0,20,60.65384615384614,48
0,21,64.19230769230768,48
0,22,62.73076923076919,48
0,23,65.84615384615383,48
0,24,71.50000000000001,66
0,25,73.38461538461536,66
0,26,73.76923076923077,66
0,27,78.53846153846152,66
0,28,79.73076923076923,72
0,29,76.49999999999994,72
0,30,78.3846153846154,114
0,31,78.57692307692305,114
0,32,75.11538461538461,126
0,33,76.2307692307692,126
0,34,77.0,126
0,35,73.15384615384612,126
0,36,74.96153846153842,126
0,37,70.84615384615384,126
0,38,72.96153846153845,186
0,39,72.69230769230766,186
0,40,71.61538461538463,198
0,41,76.50000000000001,198
0,42,71.5,198
0,43,74.57692307692304,210
0,44,75.69230769230766,210
0,45,78.76923076923076,216
0,46,78.23076923076924,216
0,47,76.84615384615387,222
0,48,77.38461538461536,222
0,49,79.69230769230766,246
0,50,73.99999999999999,246
1,1,57.923076923076906,6
1,2,51.96153846153848,6
1,3,57.53846153846155,6
1,4,57.30769230769228,6
1,5,60.9230769230769,24
1,6,59.3846153846154,24
1,7,57.03846153846154,42
1,8,60.3846153846154,42
1,9,58.61538461538462,42
1,10,57.961538461538474,42
1,11,60.42307692307693,42
1,12,61.307692307692314,42
1,13,67.88461538461536,42
1,14,67.15384615384616,66
1,15,68.88461538461539,66
1,16,72.03846153846156,66
1,17,72.46153846153847,66
1,18,71.99999999999999,96
1,19,69.96153846153844,138
1,20,68.19230769230768,144
1,21,66.15384615384616,204
1,22,72.69230769230768,210
1,23,65.46153846153845,210
1,24,65.11538461538461,210
1,25,88.88461538461542,306
1,26,104.26923076923077,318
1,27,102.73076923076924,378
1,28,101.57692307692312,378
1,29,100.96153846153845,378
1,30,104.34615384615381,408
1,31,99.46153846153851,408
1,32,99.61538461538461,420
1,33,103.19230769230772,438
1,34,105.3076923076923,438
1,35,102.80769230769228,456
1,36,99.07692307692311,456
1,37,101.38461538461543,462
1,38,101.73076923076924,462
1,39,98.00000000000001,468
1,40,101.49999999999997,474
1,41,104.57692307692308,480
1,42,141.1538461538462,486
1,43,147.26923076923072,504
1,44,140.4230769230769,504
1,45,135.07692307692307,516
1,46,143.38461538461542,594
1,47,148.38461538461536,594
1,48,145.49999999999991,594
1,49,123.07692307692305,594
1,50,158.80769230769235,600
