agentid,step,ExpectedQvalue,CumulativeReward
0,1,57.9230769230769,0
0,2,54.11538461538461,6
0,3,55.923076923076934,6
0,4,58.69230769230768,6
0,5,66.73076923076923,12
0,6,65.49999999999999,12
0,7,68.65384615384616,24
0,8,65.11538461538461,24
0,9,63.42307692307691,54
0,10,61.76923076923078,72
0,11,64.38461538461537,72
0,12,68.15384615384615,72
0,13,66.99999999999999,78
0,14,65.88461538461542,84
0,15,59.76923076923077,84
0,16,65.73076923076923,90
0,17,71.88461538461537,90
0,18,71.46153846153848,90
0,19,72.34615384615384,90
0,20,69.3846153846154,156
0,21,73.07692307692307,216
0,22,71.53846153846152,222
0,23,73.15384615384615,222
0,24,81.42307692307692,228
0,25,87.26923076923073,294
0,26,87.80769230769234,306
0,27,91.0,312
0,28,105.07692307692305,342
0,29,101.15384615384616,348
0,30,102.19230769230765,360
0,31,113.30769230769238,360
0,32,102.26923076923079,414
0,33,95.96153846153854,420
0,34,100.11538461538467,420
0,35,94.57692307692307,420
0,36,96.69230769230771,420
0,37,100.15384615384616,462
0,38,106.46153846153842,528
0,39,121.92307692307696,528
0,40,117.23076923076924,528
0,41,117.76923076923075,528
0,42,124.80769230769234,528
0,43,119.84615384615384,528
0,44,130.53846153846158,534
0,45,113.65384615384616,570
0,46,116.76923076923072,570
0,47,133.42307692307696,576
0,48,129.6923076923077,672
0,49,164.57692307692312,696
0,50,177.23076923076934,702
