grid_x,grid_y,agent_0,agent_1
2,2,3,2
1,2,1,2
2,1,6,3
2,3,2,1
3,2,2,1
1,1,3,1
1,3,0,1
3,1,4,4
3,3,3,0
5,5,1,3
4,5,1,2
5,4,3,2
5,6,0,4
6,5,3,3
4,4,2,0
4,6,0,6
6,4,0,1
6,6,2,1
