agentid,step,ExpectedQvalue,CumulativeReward
0,1,88.58333333333339,6
0,2,94.77777777777773,6
0,3,101.58333333333337,12
0,4,97.22222222222223,30
0,5,94.99999999999997,36
0,6,93.2222222222222,48
0,7,115.55555555555557,72
0,8,115.19444444444449,102
0,9,117.49999999999999,120
0,10,134.5555555555556,150
0,11,131.75000000000006,150
0,12,140.77777777777786,174
0,13,112.7222222222223,174
0,14,123.75,198
0,15,118.3055555555555,216
0,16,110.47222222222224,216
0,17,113.25000000000001,228
0,18,121.19444444444444,264
0,19,134.2777777777777,282
0,20,126.27777777777777,288
0,21,124.94444444444449,312
0,22,129.6666666666667,312
0,23,126.02777777777779,318
0,24,127.36111111111111,348
0,25,136.77777777777777,354
0,26,125.5277777777778,372
0,27,133.47222222222223,384
0,28,124.47222222222223,390
0,29,137.47222222222223,444
0,30,141.33333333333334,462
0,31,193.72222222222226,486
0,32,203.91666666666669,492
0,33,188.30555555555563,498
0,34,183.11111111111114,516
0,35,195.00000000000006,522
0,36,181.22222222222223,522
0,37,201.97222222222223,522
0,38,185.75000000000003,528
0,39,205.13888888888906,528
0,40,192.4722222222222,534
0,41,181.77777777777774,546
0,42,172.22222222222217,546
0,43,198.66666666666677,546
0,44,213.1388888888889,546
0,45,196.88888888888886,594
0,46,185.08333333333343,624
0,47,202.97222222222229,642
0,48,216.50000000000009,666
0,49,215.9444444444444,708
0,50,213.44444444444446,810
1,1,86.05555555555556,0
1,2,83.27777777777779,0
1,3,87.9444444444444,0
1,4,84.16666666666667,0
1,5,82.6944444444445,0
1,6,87.41666666666667,0
1,7,85.63888888888887,0
1,8,87.58333333333331,0
1,9,86.47222222222224,0
1,10,91.9166666666667,0
1,11,83.11111111111114,0
1,12,83.27777777777779,0
1,13,86.11111111111111,0
1,14,85.58333333333336,18
1,15,93.52777777777781,42
1,16,103.22222222222219,54
1,17,90.08333333333339,78
1,18,112.58333333333333,90
1,19,116.02777777777781,102
1,20,122.02777777777776,156
1,21,180.50000000000009,168
1,22,177.08333333333331,192
1,23,193.33333333333343,198
1,24,169.30555555555563,210
1,25,196.11111111111111,240
1,26,179.86111111111117,258
1,27,194.55555555555554,264
1,28,220.30555555555566,264
1,29,186.86111111111111,264
1,30,201.08333333333337,276
1,31,188.00000000000006,276
1,32,160.7222222222223,306
1,33,163.80555555555566,330
1,34,211.50000000000009,360
1,35,220.00000000000009,390
1,36,194.6944444444444,444
1,37,197.7777777777778,474
1,38,178.50000000000003,474
1,39,196.6944444444446,480
1,40,218.88888888888894,480
1,41,210.19444444444449,480
1,42,193.91666666666674,486
1,43,189.0,492
1,44,217.69444444444454,504
1,45,192.61111111111117,534
1,46,198.91666666666677,546
1,47,194.22222222222229,546
1,48,204.36111111111111,546
1,49,217.8611111111112,546
1,50,193.19444444444454,570
