grid_x,grid_y,agent_0,agent_1
0,1,1,3
7,0,0,0
3,1,4,11
1,4,8,2
7,4,0,0
2,0,1,7
7,7,0,0
7,3,0,0
4,0,4,8
2,7,1,0
4,1,1,5
4,3,5,4
4,7,4,0
