agentid,step,ExpectedQvalue,CumulativeReward
0,1,81.36111111111109,0
0,2,88.36111111111114,0
0,3,88.58333333333336,0
0,4,84.69444444444446,0
0,5,85.36111111111111,0
0,6,84.3888888888889,0
0,7,85.00000000000003,0
0,8,89.55555555555557,0
0,9,79.99999999999997,30
0,10,89.72222222222223,30
0,11,93.58333333333334,30
0,12,104.02777777777776,30
0,13,104.22222222222217,30
0,14,102.02777777777777,30
0,15,109.3611111111111,30
0,16,103.22222222222224,30
0,17,117.77777777777777,48
0,18,123.61111111111111,48
0,19,113.7500000000001,54
0,20,116.13888888888889,54
0,21,118.74999999999994,60
0,22,111.97222222222214,60
0,23,104.99999999999994,60
0,24,110.91666666666666,60
0,25,114.99999999999999,60
0,26,112.50000000000001,60
0,27,112.25,60
0,28,112.94444444444443,60
0,29,117.2222222222222,60
0,30,120.19444444444446,60
0,31,114.63888888888887,60
0,32,119.22222222222223,60
0,33,114.4444444444444,60
0,34,113.69444444444439,60
0,35,121.69444444444436,60
0,36,114.72222222222223,84
0,37,112.6944444444444,84
0,38,114.3333333333333,90
0,39,110.0,90
0,40,116.88888888888889,96
0,41,115.55555555555553,96
0,42,124.83333333333331,102
0,43,113.36111111111107,102
0,44,107.44444444444444,114
0,45,111.05555555555553,126
0,46,114.58333333333333,126
0,47,109.36111111111111,126
0,48,107.41666666666664,126
0,49,111.19444444444444,126
0,50,119.16666666666664,132
