agentid,step,ExpectedQvalue,CumulativeReward
0,1,54.499999999999986,0
0,2,56.153846153846175,0
0,3,61.192307692307686,6
0,4,64.1923076923077,6
0,5,61.961538461538474,6
0,6,62.84615384615385,6
0,7,62.07692307692307,36
0,8,59.30769230769229,36
0,9,66.84615384615384,60
0,10,64.80769230769232,96
0,11,66.57692307692307,96
0,12,58.73076923076925,96
0,13,63.115384615384606,96
0,14,67.19230769230768,126
0,15,65.00000000000001,132
0,16,67.23076923076921,132
0,17,64.76923076923075,132
0,18,67.88461538461534,168
0,19,67.26923076923076,174
0,20,75.23076923076921,180
0,21,77.23076923076925,180
0,22,78.96153846153844,210
0,23,78.57692307692302,210
0,24,79.61538461538461,234
0,25,77.76923076923075,234
0,26,79.57692307692312,300
0,27,80.34615384615381,300
0,28,76.76923076923076,300
0,29,81.03846153846153,300
0,30,76.49999999999999,300
0,31,81.30769230769232,366
0,32,77.26923076923079,366
0,33,76.15384615384616,366
0,34,77.53846153846156,366
0,35,72.61538461538461,366
0,36,82.76923076923079,366
0,37,84.42307692307695,366
0,38,76.38461538461539,396
0,39,75.8076923076923,396
0,40,78.9230769230769,426
0,41,76.76923076923077,426
0,42,79.1923076923077,426
0,43,79.0769230769231,426
0,44,78.0,426
0,45,83.88461538461539,432
0,46,74.03846153846153,438
0,47,77.57692307692308,438
0,48,84.84615384615385,438
0,49,79.84615384615388,438
0,50,86.19230769230768,480
1,1,53.00000000000001,0
1,2,57.03846153846153,0
1,3,60.99999999999998,0
1,4,57.96153846153846,18
1,5,58.57692307692308,30
1,6,63.30769230769229,42
1,7,60.61538461538462,48
1,8,114.88461538461543,66
1,9,101.57692307692305,78
1,10,108.4615384615385,84
1,11,109.65384615384625,84
1,12,112.50000000000006,84
1,13,101.73076923076924,108
1,14,117.34615384615388,114
1,15,117.07692307692314,114
1,16,136.38461538461536,138
1,17,108.46153846153844,138
1,18,113.42307692307699,162
1,19,121.2692307692308,162
1,20,124.88461538461542,162
1,21,124.11538461538457,162
1,22,116.5769230769231,162
1,23,119.9615384615385,186
1,24,135.15384615384616,204
1,25,125.88461538461546,204
1,26,132.34615384615387,204
1,27,118.15384615384617,204
1,28,123.76923076923079,258
1,29,120.53846153846156,258
1,30,116.19230769230768,258
1,31,121.92307692307695,258
1,32,134.07692307692312,258
1,33,121.30769230769232,258
1,34,125.23076923076925,258
1,35,132.34615384615392,258
1,36,132.76923076923075,264
1,37,127.7692307692308,264
1,38,116.7692307692308,288
1,39,130.15384615384622,288
1,40,111.4615384615385,324
1,41,114.34615384615384,342
1,42,128.3846153846154,342
1,43,132.42307692307696,348
1,44,123.99999999999999,354
1,45,151.57692307692315,366
1,46,150.8461538461539,366
1,47,134.26923076923083,372
1,48,118.57692307692308,372
1,49,119.65384615384619,444
1,50,127.11538461538463,444
