agentid,step,ExpectedQvalue,CumulativeReward
0,1,85.52777777777779,0
0,2,86.5277777777778,6
0,3,87.86111111111109,6
0,4,85.66666666666663,6
0,5,90.69444444444444,18
0,6,85.52777777777777,24
0,7,94.58333333333336,60
0,8,87.58333333333331,72
0,9,88.19444444444449,78
0,10,91.94444444444447,90
0,11,87.66666666666671,108
0,12,93.41666666666666,126
0,13,92.69444444444444,138
0,14,92.77777777777773,156
0,15,97.25000000000001,156
0,16,94.30555555555551,156
0,17,99.36111111111113,162
0,18,97.5,168
0,19,100.38888888888891,186
0,20,96.88888888888887,198
0,21,93.3888888888889,228
0,22,91.08333333333334,258
0,23,98.97222222222221,306
0,24,97.27777777777779,342
0,25,95.11111111111114,342
0,26,98.08333333333331,384
0,27,95.88888888888886,456
0,28,99.36111111111116,474
0,29,110.11111111111113,540
0,30,104.5277777777778,546
0,31,116.72222222222221,606
0,32,111.94444444444443,636
0,33,112.72222222222221,666
0,34,112.58333333333331,672
0,35,129.58333333333334,678
0,36,120.66666666666666,678
0,37,123.38888888888889,702
0,38,131.05555555555563,708
0,39,207.55555555555554,720
0,40,191.97222222222214,726
0,41,187.50000000000009,726
0,42,204.58333333333331,726
0,43,204.1944444444444,738
0,44,191.83333333333337,780
0,45,192.08333333333331,810
0,46,184.13888888888897,822
0,47,191.0,828
0,48,183.41666666666677,828
0,49,200.00000000000003,828
0,50,191.91666666666677,828
