grid_x,grid_y,agent_0,agent_1
2,2,1,0
1,2,1,0
2,1,5,0
2,3,0,0
3,2,0,0
1,1,2,0
1,3,0,7
3,1,4,0
3,3,2,2
5,5,0,0
4,5,0,3
5,4,2,0
5,6,0,0
6,5,0,0
4,4,2,2
4,6,0,0
6,4,3,0
6,6,0,0
