grid_x,grid_y,agent_0,agent_1
2,2,1,3
1,2,1,3
2,1,1,6
2,3,0,3
3,2,0,6
1,1,3,2
1,3,0,2
3,1,15,6
3,3,0,3
5,5,0,0
4,5,0,0
5,4,0,0
5,6,0,0
6,5,0,0
4,4,0,0
4,6,0,0
6,4,0,0
6,6,0,0
