agentid,step,ExpectedQvalue,CumulativeReward
0,1,60.576923076923066,0
0,2,58.11538461538459,0
0,3,57.92307692307691,0
0,4,58.07692307692308,0
0,5,55.0769230769231,0
0,6,63.30769230769232,36
0,7,62.5769230769231,36
0,8,57.96153846153847,78
0,9,59.53846153846153,78
0,10,63.00000000000001,78
0,11,56.923076923076906,78
0,12,63.53846153846152,84
0,13,60.307692307692314,84
0,14,62.115384615384585,84
0,15,63.307692307692285,84
0,16,60.38461538461536,84
0,17,62.96153846153848,84
0,18,59.26923076923077,84
0,19,62.076923076923066,138
0,20,62.84615384615383,144
0,21,65.76923076923077,162
0,22,55.61538461538462,168
0,23,58.500000000000014,264
0,24,57.15384615384616,270
0,25,56.076923076923066,270
0,26,55.46153846153845,312
0,27,55.88461538461536,318
0,28,57.84615384615383,384
0,29,58.53846153846154,384
0,30,55.88461538461538,390
0,31,56.65384615384615,402
0,32,59.57692307692307,402
0,33,58.1923076923077,420
0,34,55.76923076923076,468
0,35,57.15384615384613,468
0,36,63.92307692307691,480
0,37,64.15384615384616,480
0,38,55.692307692307686,480
0,39,61.730769230769226,486
0,40,61.4230769230769,486
0,41,69.76923076923077,486
0,42,64.38461538461539,486
0,43,59.03846153846156,522
0,44,65.15384615384616,552
0,45,63.88461538461537,552
0,46,64.15384615384613,552
0,47,63.49999999999999,552
0,48,93.07692307692307,558
0,49,99.38461538461536,576
0,50,72.34615384615384,576
1,1,55.11538461538461,0
1,2,61.61538461538463,0
1,3,55.88461538461538,0
1,4,57.46153846153847,0
1,5,57.80769230769232,0
1,6,54.88461538461537,0
1,7,61.384615384615344,6
1,8,58.88461538461538,6
1,9,57.384615384615394,18
1,10,59.34615384615385,18
1,11,57.76923076923076,18
1,12,57.153846153846175,18
1,13,58.8076923076923,30
1,14,58.34615384615384,72
1,15,52.38461538461539,72
1,16,59.96153846153847,108
1,17,57.307692307692314,108
1,18,61.03846153846154,174
1,19,56.76923076923074,180
1,20,57.15384615384615,180
1,21,59.576923076923094,198
1,22,58.38461538461538,198
1,23,57.34615384615386,198
1,24,57.26923076923078,198
1,25,58.00000000000001,222
1,26,58.07692307692307,222
1,27,58.076923076923066,222
1,28,55.92307692307692,246
1,29,59.96153846153849,246
1,30,57.53846153846154,246
1,31,67.3076923076923,246
1,32,60.26923076923077,246
1,33,67.15384615384615,282
1,34,64.2307692307692,360
1,35,65.26923076923075,360
1,36,62.15384615384615,396
1,37,64.88461538461534,492
1,38,111.92307692307696,492
1,39,124.23076923076925,492
1,40,143.4230769230769,492
1,41,108.76923076923077,492
1,42,133.6153846153846,492
1,43,125.80769230769228,492
1,44,141.76923076923077,492
1,45,108.7692307692308,492
1,46,132.2307692307693,618
1,47,104.6538461538462,618
1,48,117.0,666
1,49,122.3461538461539,672
1,50,117.88461538461536,672
