grid_x,grid_y,agent_0,agent_1
0,1,0,0
7,0,0,0
3,1,0,16
1,4,4,0
7,4,5,0
2,0,0,12
7,7,0,0
7,3,6,0
4,0,0,7
2,7,4,0
4,1,0,4
4,3,1,0
4,7,2,0
