grid_x,grid_y,agent_0,agent_1
2,2,0,6
1,2,0,3
2,1,0,5
2,3,1,6
3,2,1,2
1,1,1,5
1,3,0,11
3,1,0,3
3,3,1,3
5,5,21,1
4,5,1,0
5,4,3,1
5,6,0,0
6,5,0,0
4,4,12,0
4,6,0,0
6,4,2,0
6,6,7,0
