grid_x,grid_y,agent_0,agent_1
2,2,2,7
1,2,2,1
2,1,5,5
2,3,1,0
3,2,3,7
1,1,2,2
1,3,2,2
3,1,1,6
3,3,2,2
5,5,4,2
4,5,5,0
5,4,3,1
5,6,1,0
6,5,1,1
4,4,1,2
4,6,3,0
6,4,2,2
6,6,4,0
