agentid,step,ExpectedQvalue,CumulativeReward
0,1,78.50000000000004,0
0,2,86.02777777777776,0
0,3,80.74999999999999,18
0,4,85.80555555555554,18
0,5,84.2777777777778,30
0,6,83.22222222222223,54
0,7,89.13888888888891,60
0,8,81.44444444444444,66
0,9,85.22222222222223,84
0,10,81.77777777777779,108
0,11,91.24999999999999,126
0,12,84.0277777777778,150
0,13,90.80555555555561,156
0,14,89.08333333333329,168
0,15,87.44444444444447,168
0,16,84.52777777777777,168
0,17,83.75000000000001,180
0,18,86.1388888888889,240
0,19,82.63888888888886,258
0,20,89.72222222222223,264
0,21,91.4166666666666,282
0,22,105.63888888888889,282
0,23,105.11111111111113,294
0,24,95.63888888888889,300
0,25,101.72222222222221,306
0,26,98.94444444444444,312
0,27,108.25,318
0,28,115.72222222222221,360
0,29,117.5555555555555,420
0,30,125.94444444444443,474
0,31,116.19444444444447,588
0,32,113.55555555555554,600
0,33,124.1111111111111,612
0,34,120.47222222222217,684
0,35,122.08333333333334,732
0,36,114.2222222222222,822
0,37,111.91666666666671,822
0,38,133.0555555555556,840
0,39,141.47222222222226,846
0,40,135.55555555555557,858
0,41,134.22222222222229,864
0,42,135.19444444444446,930
0,43,126.66666666666673,978
0,44,134.75,1002
0,45,140.2222222222222,1008
0,46,132.16666666666666,1008
0,47,127.24999999999999,1020
0,48,130.13888888888894,1080
0,49,130.75000000000003,1134
0,50,133.4722222222222,1146
