agentid,step,ExpectedQvalue,CumulativeReward
0,1,90.61111111111109,0
0,2,85.11111111111113,0
0,3,85.7777777777778,6
0,4,85.24999999999997,6
0,5,81.38888888888893,6
0,6,94.55555555555553,12
0,7,86.69444444444441,24
0,8,95.58333333333336,24
0,9,92.5,42
0,10,93.05555555555559,48
0,11,87.69444444444447,84
0,12,88.27777777777779,126
0,13,87.52777777777777,144
0,14,78.08333333333336,144
0,15,80.33333333333334,156
0,16,78.83333333333333,156
0,17,80.11111111111113,162
0,18,89.8888888888889,162
0,19,89.36111111111114,192
0,20,84.61111111111113,228
0,21,97.41666666666666,252
0,22,95.74999999999999,294
0,23,90.86111111111113,294
0,24,107.36111111111111,354
0,25,110.77777777777777,360
0,26,104.52777777777779,378
0,27,107.88888888888889,408
0,28,105.44444444444447,408
0,29,134.55555555555563,420
0,30,148.00000000000006,420
0,31,146.00000000000003,444
0,32,145.24999999999997,450
0,33,140.77777777777774,456
0,34,139.02777777777777,462
0,35,109.91666666666671,558
0,36,104.6388888888889,558
0,37,102.88888888888886,588
0,38,103.86111111111114,594
0,39,102.41666666666673,618
0,40,111.33333333333337,630
0,41,112.0277777777778,642
0,42,113.11111111111113,642
0,43,116.27777777777779,642
0,44,108.52777777777773,666
0,45,110.11111111111114,666
0,46,119.41666666666669,672
0,47,124.16666666666674,684
0,48,124.86111111111116,684
0,49,117.61111111111107,708
0,50,104.55555555555554,714
1,1,85.88888888888891,12
1,2,82.44444444444441,18
1,3,81.52777777777781,18
1,4,88.58333333333334,18
1,5,77.19444444444447,18
1,6,91.55555555555554,24
1,7,85.80555555555559,24
1,8,93.24999999999997,24
1,9,90.80555555555557,24
1,10,92.4722222222222,48
1,11,93.66666666666666,60
1,12,96.58333333333336,66
1,13,187.1111111111112,72
1,14,181.0000000000001,84
1,15,198.8333333333334,84
1,16,169.5000000000001,96
1,17,170.1666666666667,120
1,18,174.75000000000006,120
1,19,183.4166666666667,138
1,20,172.77777777777763,180
1,21,185.58333333333343,180
1,22,175.888888888889,180
1,23,177.94444444444446,180
1,24,170.1388888888888,186
1,25,175.16666666666666,192
1,26,195.6388888888889,204
1,27,177.97222222222229,216
1,28,169.69444444444446,222
1,29,171.3333333333334,222
1,30,182.58333333333346,222
1,31,208.27777777777783,228
1,32,188.1111111111112,228
1,33,194.4444444444445,294
1,34,194.05555555555563,300
1,35,183.24999999999991,300
1,36,173.80555555555563,300
1,37,186.4166666666667,390
1,38,179.52777777777777,420
1,39,169.16666666666666,432
1,40,182.0277777777778,432
1,41,184.75000000000003,438
1,42,176.58333333333343,456
1,43,186.50000000000006,456
1,44,181.11111111111114,462
1,45,179.88888888888894,498
1,46,176.41666666666669,510
1,47,198.00000000000006,558
1,48,191.72222222222234,558
1,49,199.02777777777789,558
1,50,185.80555555555563,558
