agentid,step,ExpectedQvalue,CumulativeReward
0,1,85.3888888888889,0
0,2,88.72222222222221,0
0,3,91.88888888888889,0
0,4,91.97222222222223,0
0,5,90.83333333333336,0
0,6,86.86111111111111,0
0,7,88.63888888888889,0
0,8,84.66666666666666,0
0,9,84.74999999999999,0
0,10,92.72222222222221,0
0,11,87.30555555555557,0
0,12,89.72222222222221,0
0,13,81.61111111111106,0
0,14,88.38888888888887,0
0,15,92.77777777777779,0
0,16,87.74999999999997,0
0,17,92.30555555555556,0
0,18,89.88888888888893,0
0,19,80.11111111111107,0
0,20,88.41666666666666,0
0,21,97.88888888888891,42
0,22,87.52777777777777,84
0,23,106.83333333333337,84
0,24,106.25000000000001,84
0,25,107.91666666666671,84
0,26,112.77777777777776,84
0,27,111.0833333333334,96
0,28,117.44444444444446,102
0,29,117.22222222222217,102
0,30,113.6111111111111,114
0,31,110.6111111111111,114
0,32,108.27777777777774,114
0,33,114.19444444444444,114
0,34,110.41666666666671,114
0,35,121.36111111111117,120
0,36,109.88888888888889,174
0,37,106.86111111111113,222
0,38,121.88888888888887,288
0,39,160.8888888888889,300
0,40,158.16666666666669,306
0,41,159.08333333333337,330
0,42,172.44444444444446,348
0,43,165.24999999999997,354
0,44,167.55555555555554,366
0,45,104.19444444444447,486
0,46,112.91666666666663,486
0,47,123.1388888888889,492
0,48,105.41666666666669,522
0,49,122.22222222222224,570
0,50,135.00000000000006,570
