agentid,step,ExpectedQvalue,CumulativeReward
0,1,88.97222222222219,6
0,2,157.83333333333334,12
0,3,174.77777777777774,24
0,4,90.5,36
0,5,176.52777777777783,42
0,6,168.3055555555555,42
0,7,164.8333333333333,60
0,8,191.55555555555554,78
0,9,157.63888888888897,84
0,10,181.00000000000006,96
0,11,104.91666666666666,126
0,12,96.41666666666669,162
0,13,93.2222222222222,168
0,14,84.50000000000003,168
0,15,95.5555555555556,174
0,16,137.88888888888886,210
0,17,138.44444444444449,210
0,18,153.58333333333331,228
0,19,140.3611111111111,240
0,20,150.19444444444449,276
0,21,155.77777777777786,276
0,22,141.5277777777778,276
0,23,149.16666666666674,276
0,24,148.52777777777786,300
0,25,152.22222222222223,354
0,26,152.08333333333334,414
0,27,163.61111111111111,480
0,28,149.0555555555556,480
0,29,147.6111111111111,516
0,30,147.91666666666663,522
0,31,159.27777777777783,534
0,32,150.1944444444445,588
0,33,166.38888888888897,594
0,34,152.6944444444444,594
0,35,156.77777777777783,594
0,36,165.69444444444449,606
0,37,160.5000000000001,654
0,38,168.7777777777777,654
0,39,150.75000000000009,654
0,40,162.91666666666657,666
0,41,152.27777777777783,666
0,42,175.44444444444449,666
0,43,163.44444444444449,684
0,44,158.8333333333333,750
0,45,169.47222222222226,750
0,46,174.25000000000006,768
0,47,167.3888888888889,780
0,48,171.11111111111106,786
0,49,154.25000000000003,792
0,50,172.361111111111,816
1,1,90.19444444444447,0
1,2,86.05555555555556,0
1,3,85.80555555555556,0
1,4,88.33333333333334,0
1,5,90.83333333333331,0
1,6,87.3888888888889,0
1,7,78.80555555555553,0
1,8,81.63888888888891,0
1,9,89.94444444444437,0
1,10,83.97222222222219,0
1,11,77.5,0
1,12,83.66666666666661,0
1,13,85.5277777777778,0
1,14,82.47222222222221,12
1,15,80.8611111111111,12
1,16,76.66666666666664,18
1,17,82.19444444444443,18
1,18,82.88888888888887,24
1,19,85.50000000000001,24
1,20,79.27777777777779,30
1,21,93.41666666666661,66
1,22,90.66666666666666,66
1,23,91.49999999999999,72
1,24,98.66666666666667,78
1,25,98.66666666666671,84
1,26,107.0833333333333,96
1,27,98.3333333333333,102
1,28,95.4166666666667,108
1,29,95.44444444444444,162
1,30,107.9722222222223,168
1,31,120.19444444444441,168
1,32,118.72222222222224,168
1,33,114.61111111111109,180
1,34,132.44444444444449,222
1,35,136.86111111111111,228
1,36,179.33333333333337,234
1,37,179.52777777777783,234
1,38,118.83333333333331,252
1,39,193.97222222222237,264
1,40,199.5555555555557,270
1,41,219.69444444444443,294
1,42,210.1944444444444,294
1,43,210.8888888888889,306
1,44,206.19444444444454,324
1,45,179.6666666666667,324
1,46,203.83333333333334,330
1,47,205.08333333333337,342
1,48,198.94444444444446,342
1,49,208.30555555555557,342
1,50,203.58333333333337,342
