grid_x,grid_y,agent_0,agent_1
0,1,0,1
7,0,2,5
3,1,4,10
1,4,0,0
7,4,3,0
2,0,2,4
7,7,3,0
7,3,3,0
4,0,4,12
2,7,0,0
4,1,6,6
4,3,4,0
4,7,1,0
