agentid,step,ExpectedQvalue,CumulativeReward
0,1,58.03846153846156,6
0,2,58.00000000000002,6
0,3,57.76923076923077,6
0,4,58.1923076923077,6
0,5,49.53846153846151,6
0,6,59.307692307692314,12
0,7,61.30769230769231,12
0,8,53.19230769230768,42
0,9,58.57692307692308,72
0,10,56.19230769230767,84
0,11,59.88461538461536,120
0,12,70.26923076923079,120
0,13,69.80769230769226,120
0,14,63.230769230769226,150
0,15,74.96153846153851,168
0,16,73.42307692307695,168
0,17,151.00000000000006,174
0,18,139.1923076923077,174
0,19,133.3076923076923,192
0,20,137.96153846153845,198
0,21,116.11538461538458,210
0,22,134.50000000000003,228
0,23,133.0,234
0,24,145.15384615384622,240
0,25,131.8461538461539,258
0,26,127.46153846153845,270
0,27,140.8076923076924,270
0,28,152.4615384615384,276
0,29,121.2307692307693,276
0,30,142.19230769230768,348
0,31,130.9230769230769,348
0,32,134.11538461538456,366
0,33,144.96153846153845,366
0,34,109.69230769230768,450
0,35,133.19230769230774,558
0,36,126.34615384615391,558
0,37,126.2307692307692,558
0,38,145.50000000000006,558
0,39,132.4230769230769,558
0,40,152.03846153846158,576
0,41,120.76923076923076,582
0,42,118.69230769230771,582
0,43,135.00000000000009,582
0,44,147.5769230769231,594
0,45,129.11538461538464,594
0,46,127.80769230769229,600
0,47,151.92307692307693,600
0,48,127.99999999999994,618
0,49,145.8461538461538,618
0,50,134.30769230769224,618
1,1,59.11538461538461,0
1,2,60.26923076923077,0
1,3,56.230769230769226,0
1,4,61.19230769230768,0
1,5,58.23076923076921,12
1,6,60.730769230769226,12
1,7,57.19230769230771,42
1,8,61.03846153846155,42
1,9,52.8076923076923,42
1,10,60.92307692307691,42
1,11,60.73076923076922,54
1,12,53.961538461538474,54
1,13,59.88461538461537,72
1,14,58.0,72
1,15,62.96153846153844,78
1,16,58.615384615384635,78
1,17,68.6923076923077,78
1,18,74.53846153846158,102
1,19,67.92307692307692,102
1,20,65.38461538461539,132
1,21,65.30769230769229,132
1,22,60.730769230769205,138
1,23,65.34615384615385,138
1,24,65.7307692307692,144
1,25,68.19230769230768,150
1,26,66.57692307692307,150
1,27,68.34615384615383,150
1,28,65.80769230769229,150
1,29,64.57692307692308,216
1,30,76.80769230769235,222
1,31,73.76923076923073,228
1,32,74.88461538461534,228
1,33,67.07692307692311,246
1,34,71.42307692307693,246
1,35,63.5,246
1,36,73.26923076923079,246
1,37,66.1153846153846,246
1,38,70.73076923076923,258
1,39,71.15384615384616,372
1,40,68.96153846153848,372
1,41,69.61538461538463,384
1,42,66.46153846153845,390
1,43,72.8076923076923,390
1,44,70.49999999999997,390
1,45,78.23076923076923,426
1,46,72.84615384615384,480
1,47,68.42307692307692,480
1,48,72.46153846153847,480
1,49,68.57692307692305,480
1,50,68.0769230769231,510
