grid_x,grid_y,agent_0,agent_1
2,2,2,0
1,2,3,0
2,1,3,0
2,3,0,0
3,2,1,0
1,1,2,0
1,3,1,0
3,1,0,0
3,3,0,1
5,5,1,11
4,5,3,4
5,4,0,3
5,6,2,2
6,5,1,2
4,4,0,4
4,6,2,6
6,4,0,2
6,6,1,2
