agentid,step,ExpectedQvalue,CumulativeReward
0,1,86.55555555555551,0
0,2,80.66666666666664,0
0,3,89.0,12
0,4,92.41666666666664,42
0,5,83.38888888888893,42
0,6,85.05555555555551,54
0,7,95.0277777777778,72
0,8,104.11111111111114,96
0,9,100.47222222222221,114
0,10,96.44444444444449,120
0,11,95.97222222222217,126
0,12,92.63888888888889,132
0,13,102.08333333333334,144
0,14,90.74999999999996,144
0,15,101.16666666666671,144
0,16,95.6111111111111,150
0,17,99.3611111111111,156
0,18,98.33333333333333,174
0,19,86.22222222222224,174
0,20,96.58333333333336,174
0,21,100.94444444444443,180
0,22,106.55555555555559,204
0,23,93.88888888888891,240
0,24,91.83333333333337,288
0,25,96.1111111111111,288
0,26,93.49999999999999,330
0,27,107.69444444444443,348
0,28,102.19444444444444,366
0,29,103.83333333333337,366
0,30,123.19444444444449,426
0,31,134.47222222222223,432
0,32,133.00000000000003,450
0,33,127.02777777777774,498
0,34,121.58333333333337,498
0,35,126.69444444444443,498
0,36,131.55555555555551,498
0,37,122.13888888888896,504
0,38,132.80555555555557,516
0,39,134.75,528
0,40,137.44444444444446,540
0,41,129.86111111111114,600
0,42,128.72222222222223,612
0,43,126.69444444444449,636
0,44,119.94444444444446,660
0,45,149.75,666
0,46,147.3333333333333,756
0,47,137.80555555555551,762
0,48,140.33333333333331,762
0,49,141.88888888888886,768
0,50,139.24999999999997,780
1,1,84.08333333333333,0
1,2,76.8055555555556,0
1,3,87.19444444444446,0
1,4,78.75,6
1,5,83.3611111111111,6
1,6,84.11111111111111,6
1,7,68.83333333333331,36
1,8,82.24999999999999,54
1,9,92.30555555555556,72
1,10,95.47222222222223,72
1,11,90.66666666666667,90
1,12,90.22222222222224,90
1,13,99.22222222222224,102
1,14,91.88888888888887,114
1,15,98.83333333333331,114
1,16,83.97222222222224,132
1,17,99.1111111111111,132
1,18,91.02777777777781,138
1,19,112.8888888888889,156
1,20,166.91666666666663,162
1,21,146.0277777777778,162
1,22,168.8055555555556,168
1,23,161.2777777777778,180
1,24,165.72222222222226,186
1,25,150.27777777777777,186
1,26,165.08333333333337,192
1,27,139.55555555555554,198
1,28,188.72222222222229,204
1,29,175.19444444444431,204
1,30,167.88888888888889,210
1,31,163.80555555555557,210
1,32,165.94444444444449,210
1,33,152.3611111111111,228
1,34,169.61111111111114,246
1,35,169.9722222222224,246
1,36,169.0277777777778,246
1,37,162.69444444444446,252
1,38,167.05555555555563,252
1,39,147.74999999999997,258
1,40,173.24999999999997,264
1,41,123.19444444444449,282
1,42,133.77777777777783,282
1,43,128.6666666666667,306
1,44,129.97222222222223,324
1,45,126.22222222222224,330
1,46,123.8888888888889,366
1,47,125.13888888888893,366
1,48,126.75000000000001,366
1,49,128.27777777777777,372
1,50,120.97222222222229,432
