user_id,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9
2,38,21,23,36,24,27,29,19
3,60,63,82,86,23,34,42,36
4,16,18,8,11,28,21,17,34
5,38,41,44,52,40,45,57,53
6,32,44,32,25,41,38,20,15
7,13,15,10,10,21,20,14,15
8,38,36,43,36,42,37,45,56
9,4,5,3,2,2,7,0,2
12,27,30,32,39,35,30,31,27
14,66,48,60,37,30,25,34,11
