agentid,step,ExpectedQvalue,CumulativeReward
0,1,76.77777777777779,0
0,2,77.72222222222223,6
0,3,75.97222222222223,6
0,4,79.88888888888889,6
0,5,77.69444444444444,12
0,6,86.83333333333333,24
0,7,82.02777777777773,24
0,8,97.86111111111114,48
0,9,86.02777777777779,60
0,10,106.58333333333331,66
0,11,102.3888888888889,90
0,12,95.69444444444443,90
0,13,103.41666666666674,90
0,14,110.52777777777779,102
0,15,103.72222222222226,102
0,16,106.91666666666663,108
0,17,96.9722222222222,120
0,18,87.88888888888891,186
0,19,178.27777777777777,186
0,20,181.30555555555566,198
0,21,173.97222222222234,240
0,22,160.00000000000003,252
0,23,179.75000000000006,258
0,24,174.00000000000006,294
0,25,159.58333333333337,294
0,26,181.94444444444446,294
0,27,181.75000000000003,330
0,28,164.8611111111112,342
0,29,172.38888888888894,378
0,30,176.11111111111123,444
0,31,166.55555555555563,540
0,32,181.4166666666666,600
0,33,154.75000000000003,600
0,34,183.77777777777783,618
0,35,158.97222222222226,636
0,36,169.36111111111117,672
0,37,171.25000000000003,684
0,38,186.7777777777778,690
0,39,167.8611111111112,696
0,40,163.58333333333343,696
0,41,156.5,702
0,42,173.08333333333337,702
0,43,175.77777777777783,708
0,44,163.86111111111106,720
0,45,165.77777777777774,744
0,46,165.0,828
0,47,157.27777777777786,858
0,48,160.47222222222229,858
0,49,157.6944444444445,858
0,50,178.30555555555557,912
