agent_st_pos_x,agent_st_pos_y,agent_end_pos_x,agent_end_pos_y,agent_ini_pos_x,agent_ini_pos_y,agent_id,duration,user_id,round,st_time_relative,end_time_relative,is_optimal,q_value,expected_q_value
5.4,4.4,4.0,5.0,5,4,0,574,10,4,8.9,9.5,0,1.0,0.0555555555555555
4.5,5.0,3.0,3.0,4,5,0,564,10,4,10.4,11.0,0,1.0,0.0555555555555555
3.6,3.3,3.0,2.0,3,3,0,480,10,4,11.8,12.3,0,1.0,0.0
3.2,2.9,1.0,2.0,3,2,0,468,10,4,12.9,13.4,0,1.0,0.0555555555555555
1.3,2.3,1.0,3.0,1,2,0,485,10,4,14.3,14.8,0,1.0,0.0
1.1,3.7,2.0,3.0,1,3,0,633,10,4,15.8,16.5,0,1.0,0.0
2.1,3.6,3.0,1.0,2,3,0,850,10,4,17.4,18.2,0,1.49,0.0555555555555555
3.6,1.3,1.0,1.0,3,1,0,644,10,4,19.0,19.7,0,1.0,0.0
1.6,1.5,3.0,2.0,1,1,0,974,10,4,20.4,21.4,0,1.0,0.0
4.0,2.0,1.0,3.0,3,2,0,797,10,4,22.8,23.6,0,1.0,0.0277777777777777
1.6,3.0,4.0,6.0,1,3,0,954,10,4,24.6,25.6,0,1.0,0.0555555555555555
4.9,6.9,6.0,5.0,4,6,0,913,10,4,26.7,27.6,0,1.0,0.0277777777777777
6.4,5.6,6.0,4.0,6,5,0,494,10,4,28.4,28.9,0,1.0,0.0555555555555555
6.4,4.5,5.0,4.0,6,4,0,449,10,4,29.5,30.0,0,1.0,0.0277777777777777
5.6,4.5,3.0,5.0,5,4,0,451,10,4,30.6,31.1,1,1.0,0.1111111111111111
3.1,5.5,2.0,3.0,3,5,0,473,10,4,32.0,32.5,0,1.0,0.0
2.3,4.0,1.0,1.0,2,3,0,636,10,4,33.4,34.1,0,1.0,0.0277777777777777
1.2,1.6,2.0,2.0,1,1,0,487,10,4,35.0,35.5,0,1.0,0.0277777777777777
2.8,2.6,1.0,2.0,2,2,0,497,10,4,36.3,36.8,0,1.0,0.0555555555555555
1.7,2.6,2.0,3.0,1,2,0,372,10,4,37.5,37.9,0,1.0,0.0555555555555555
2.2,3.5,3.0,3.0,2,3,0,336,10,4,38.7,39.0,0,1.49,0.0555555555555555
3.2,3.7,5.0,4.0,3,3,0,568,10,4,39.6,40.2,0,1.0,0.0277777777777777
5.6,4.7,4.0,5.0,5,4,0,675,10,4,40.8,41.5,0,1.0,0.0
4.5,5.6,5.0,6.0,4,5,0,337,10,4,42.4,42.8,0,1.0,0.0555555555555555
5.5,6.4,6.0,6.0,5,6,0,301,10,4,43.5,43.8,0,1.0,0.0555555555555555
6.9,6.7,6.0,4.0,6,6,0,508,10,4,44.9,45.4,0,1.0,0.0
6.4,4.3,5.0,4.0,6,4,0,489,10,4,46.2,46.7,0,1.0,0.0
5.7,4.6,6.0,5.0,5,4,0,380,10,4,47.4,47.7,1,1.0,0.1111111111111111
6.3,5.2,5.0,5.0,6,5,0,425,10,4,48.5,48.9,1,1.0,0.1111111111111111
5.5,5.4,3.0,3.0,5,5,0,482,10,4,49.8,50.3,0,1.0,0.0555555555555555
3.5,3.4,3.0,1.0,3,3,0,473,10,4,51.2,51.7,1,1.0,0.1111111111111111
3.6,1.6,2.0,1.0,3,1,0,383,10,4,52.3,52.7,0,1.0,0.0
2.4,1.6,1.0,2.0,2,1,0,394,10,4,53.6,54.0,0,1.0,0.0555555555555555
1.7,2.2,1.0,1.0,1,2,0,472,10,4,54.8,55.3,1,1.0,0.1111111111111111
1.4,0.9,3.0,2.0,1,1,0,592,10,4,56.4,57.0,0,1.0,0.0
3.8,2.8,4.0,4.0,3,2,0,431,10,4,57.6,58.1,0,1.0,0.0277777777777777
4.8,4.5,6.0,4.0,4,4,0,503,10,4,58.9,59.4,0,2.09,0.0555555555555555
6.3,4.4,5.0,4.0,6,4,0,413,10,4,60.5,60.9,0,1.0,0.0
5.5,4.6,5.0,5.0,5,4,0,353,10,4,61.6,62.0,0,1.0,0.0555555555555555
5.5,5.2,4.0,5.0,5,5,0,552,10,4,62.6,63.1,0,1.0,0.0555555555555555
5.0,5.5,6.0,5.0,4,5,0,635,10,4,63.8,64.5,0,1.0,0.0555555555555555
6.6,5.3,6.0,4.0,6,5,0,497,10,4,65.1,65.6,0,1.0,0.0
6.5,4.3,2.0,1.0,6,4,0,758,10,4,66.4,67.1,0,1.0,0.0
