agentid,step,ExpectedQvalue,CumulativeReward
0,1,85.80555555555554,0
0,2,87.19444444444446,12
0,3,84.50000000000003,24
0,4,84.4166666666667,30
0,5,92.80555555555556,30
0,6,77.69444444444447,36
0,7,91.11111111111111,78
0,8,87.74999999999999,108
0,9,86.91666666666669,108
0,10,98.61111111111111,120
0,11,87.69444444444441,168
0,12,95.80555555555556,168
0,13,83.4722222222222,168
0,14,94.6111111111111,198
0,15,91.27777777777781,258
0,16,88.27777777777777,258
0,17,93.97222222222224,300
0,18,97.1666666666667,348
0,19,105.44444444444447,372
0,20,107.22222222222229,390
0,21,106.30555555555554,414
0,22,103.6111111111111,438
0,23,95.16666666666667,462
0,24,106.27777777777781,474
0,25,112.33333333333334,498
0,26,160.05555555555551,504
0,27,149.19444444444449,516
0,28,170.38888888888883,522
0,29,160.27777777777777,528
0,30,149.19444444444449,546
0,31,158.61111111111111,564
0,32,167.80555555555563,576
0,33,162.8333333333333,576
0,34,155.69444444444449,582
0,35,137.13888888888894,588
0,36,163.77777777777786,588
0,37,184.0277777777778,594
0,38,166.30555555555554,600
0,39,156.3888888888889,612
0,40,165.86111111111123,618
0,41,193.88888888888894,618
0,42,179.72222222222229,618
0,43,183.8055555555556,660
0,44,183.3055555555556,666
0,45,183.91666666666666,714
0,46,202.7777777777779,726
0,47,185.63888888888894,726
0,48,177.41666666666669,822
0,49,202.19444444444437,954
0,50,177.94444444444454,984
1,1,83.24999999999997,0
1,2,87.19444444444449,18
1,3,168.16666666666669,24
1,4,145.80555555555566,24
1,5,167.44444444444446,30
1,6,148.0277777777778,30
1,7,142.86111111111114,30
1,8,167.77777777777786,42
1,9,168.19444444444449,42
1,10,171.33333333333334,42
1,11,195.888888888889,42
1,12,162.19444444444446,66
1,13,165.16666666666677,72
1,14,168.22222222222226,90
1,15,157.41666666666663,102
1,16,161.13888888888886,108
1,17,195.30555555555557,114
1,18,183.9166666666667,180
1,19,191.6388888888889,216
1,20,179.83333333333331,216
1,21,178.08333333333343,228
1,22,189.88888888888889,234
1,23,181.52777777777783,240
1,24,184.0277777777778,246
1,25,186.58333333333343,246
1,26,173.83333333333337,258
1,27,166.86111111111114,264
1,28,183.50000000000003,270
1,29,182.33333333333343,276
1,30,187.02777777777789,294
1,31,193.72222222222234,300
1,32,193.2222222222223,306
1,33,195.91666666666669,306
1,34,187.2777777777778,330
1,35,193.16666666666674,336
1,36,180.1111111111112,348
1,37,187.00000000000003,360
1,38,186.33333333333334,366
1,39,185.0277777777778,366
1,40,189.00000000000003,366
1,41,183.99999999999997,372
1,42,217.74999999999991,378
1,43,190.58333333333334,390
1,44,210.52777777777774,390
1,45,183.75000000000003,402
1,46,198.5833333333334,408
1,47,180.1388888888889,432
1,48,212.11111111111114,450
1,49,192.33333333333334,468
1,50,195.38888888888877,468
