grid_x,grid_y,agent_0,agent_1
0,1,0,1
7,0,0,0
3,1,0,6
1,4,2,2
7,4,4,3
2,0,0,4
7,7,4,0
7,3,1,1
4,0,0,11
2,7,3,0
4,1,0,6
4,3,0,3
4,7,12,0
